Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334
Random Forest,0.8833333333333333,0.84,0.875,0.8571428571428571
ANN (Yours),0.9,0.875,0.875,0.875
